species,file,valid,error,duration,sample_rate,num_samples,rms_db,peak_amplitude,snr_db,is_silent,is_clipped,duration_ok
Common Myna,xc100284_10593.wav,True,,3.0,16000,48000,-38.769569396972656,0.08538818359375,7.69,False,False,True
Common Myna,xc100284_13593.wav,True,,3.0,16000,48000,-38.884090423583984,0.069732666015625,4.87,False,False,True
Common Myna,xc100284_22316.wav,True,,3.0,16000,48000,-37.97390365600586,0.076873779296875,7.86,False,False,True
Common Myna,xc100284_2691.wav,True,,3.0,16000,48000,-38.9267578125,0.0965576171875,6.72,False,False,True
Common Myna,xc100284_5691.wav,True,,3.0,16000,48000,-36.600830078125,0.097930908203125,8.44,False,False,True
Common Myna,xc1003188_2195.wav,True,,3.0,16000,48000,-19.873512268066406,0.605377197265625,23.10,False,False,True
Common Myna,xc1003188_5506.wav,True,,3.0,16000,48000,-32.284053802490234,0.195709228515625,11.93,False,False,True
Common Myna,xc1004354_13666.wav,True,,3.0,16000,48000,-39.875667572021484,0.08428955078125,19.09,False,False,True
Common Myna,xc1005487_0.wav,True,,3.0,16000,48000,-28.346843719482422,0.332275390625,10.27,False,False,True
Common Myna,xc1005487_12070.wav,True,,3.0,16000,48000,-29.52078628540039,0.27423095703125,5.41,False,False,True
Common Myna,xc1005487_15465.wav,True,,3.0,16000,48000,-23.189117431640625,0.719573974609375,11.00,False,False,True
Common Myna,xc1005487_20328.wav,True,,3.0,16000,48000,-25.596710205078125,0.438385009765625,8.70,False,False,True
Common Myna,xc1005487_3467.wav,True,,3.0,16000,48000,-31.51373863220215,0.225006103515625,7.54,False,False,True
Common Myna,xc1005487_8133.wav,True,,3.0,16000,48000,-28.70803451538086,0.23114013671875,5.57,False,False,True
Common Myna,xc102121_1150.wav,True,,3.0,16000,48000,-39.467689514160156,0.302398681640625,16.03,False,False,True
Common Myna,xc102121_15401.wav,True,,3.0,16000,48000,-40.81624984741211,0.13543701171875,18.78,True,False,True
Common Myna,xc102121_21355.wav,True,,3.0,16000,48000,-40.582218170166016,0.122711181640625,16.70,True,False,True
Common Myna,xc102121_33947.wav,True,,3.0,16000,48000,-31.010391235351562,0.2333984375,27.31,False,False,True
Common Myna,xc102121_36602.wav,True,,3.0,16000,48000,-30.99777603149414,0.238189697265625,28.16,False,False,True
Common Myna,xc102121_39048.wav,True,,3.0,16000,48000,-29.48357391357422,0.31500244140625,29.97,False,False,True
Common Myna,xc102121_3978.wav,True,,3.0,16000,48000,-21.098318099975586,0.864715576171875,33.94,False,False,True
Common Myna,xc102121_41104.wav,True,,3.0,16000,48000,-27.908973693847656,0.32720947265625,31.69,False,False,True
Common Myna,xc102121_42894.wav,True,,3.0,16000,48000,-29.816877365112305,0.32720947265625,28.94,False,False,True
Common Myna,xc102121_44713.wav,True,,3.0,16000,48000,-36.197845458984375,0.18756103515625,21.76,False,False,True
Common Myna,xc102122_100538.wav,True,,3.0,16000,48000,-20.91242790222168,0.605133056640625,40.18,False,False,True
Common Myna,xc102122_1477.wav,True,,3.0,16000,48000,-29.197715759277344,0.30694580078125,26.69,False,False,True
Common Myna,xc102122_19777.wav,True,,3.0,16000,48000,-14.417067527770996,0.86932373046875,43.28,False,False,True
Common Myna,xc102122_43576.wav,True,,3.0,16000,48000,-14.456512451171875,0.736083984375,42.12,False,False,True
Common Myna,xc102122_64887.wav,True,,3.0,16000,48000,-17.51405143737793,0.634552001953125,40.84,False,False,True
Common Myna,xc102122_86525.wav,True,,3.0,16000,48000,-23.060949325561523,0.521636962890625,36.87,False,False,True
Common Myna,xc102123_20091.wav,True,,3.0,16000,48000,-19.890789031982422,0.857696533203125,35.60,False,False,True
Common Myna,xc102123_23084.wav,True,,3.0,16000,48000,-39.954654693603516,0.149658203125,15.76,False,False,True
Common Myna,xc102123_33895.wav,True,,3.0,16000,48000,-28.465843200683594,0.495574951171875,25.34,False,False,True
Common Myna,xc102123_37796.wav,True,,3.0,16000,48000,-33.311805725097656,0.2254638671875,17.92,False,False,True
Common Myna,xc102123_837.wav,True,,3.0,16000,48000,-14.655309677124023,0.916290283203125,40.74,False,False,True
Common Myna,xc102124_13853.wav,True,,3.0,16000,48000,-36.16215896606445,0.4521484375,20.22,False,False,True
Common Myna,xc102124_1682.wav,True,,3.0,16000,48000,-21.318796157836914,0.616607666015625,31.27,False,False,True
Common Myna,xc102124_21170.wav,True,,3.0,16000,48000,-38.0507698059082,0.425537109375,14.03,False,False,True
Common Myna,xc102124_24980.wav,True,,3.0,16000,48000,-42.9273567199707,0.04840087890625,7.42,True,False,True
Common Myna,xc102124_30462.wav,True,,3.0,16000,48000,-23.85163116455078,0.446868896484375,26.82,False,False,True
Common Myna,xc102124_37836.wav,True,,3.0,16000,48000,-26.87310791015625,0.416290283203125,26.46,False,False,True
Common Myna,xc102124_47384.wav,True,,3.0,16000,48000,-17.68219757080078,0.826934814453125,37.26,False,False,True
Common Myna,xc102124_61166.wav,True,,3.0,16000,48000,-26.015113830566406,0.47613525390625,25.96,False,False,True
Common Myna,xc102124_68726.wav,True,,3.0,16000,48000,-37.74644088745117,0.3046875,9.61,False,False,True
Common Myna,xc1041255_311.wav,True,,3.0,16000,48000,-24.675552368164062,0.355133056640625,24.88,False,False,True
Common Myna,xc1041255_3311.wav,True,,3.0,16000,48000,-28.037385940551758,0.190399169921875,23.32,False,False,True
Common Myna,xc1043055_23159.wav,True,,3.0,16000,48000,-40.51958084106445,0.06524658203125,15.85,True,False,True
Common Myna,xc1043055_28370.wav,True,,3.0,16000,48000,-43.84096145629883,0.06976318359375,14.44,True,False,True
Common Myna,xc1043055_32213.wav,True,,3.0,16000,48000,-41.181114196777344,0.072662353515625,16.57,True,False,True
Common Myna,xc1043055_8127.wav,True,,3.0,16000,48000,-44.060516357421875,0.05810546875,14.71,True,False,True
Common Myna,xc110873_1780.wav,True,,3.0,16000,48000,-19.604389190673828,0.711273193359375,20.62,False,False,True
Common Myna,xc110874_1357.wav,True,,3.0,16000,48000,-23.40019416809082,0.67138671875,8.39,False,False,True
