file_id,source_id,clip_index,sampling_rate,snr_db,rms_db,peak_amplitude,is_clipped
XC1002657_2860,1002657,2860,16000,4.28,-36.16,0.1111,False
XC1003831_2642,1003831,2642,16000,1.61,-33.18,0.1051,False
XC1005485_1496,1005485,1496,16000,8.36,-25.82,0.3249,False
XC1005485_5236,1005485,5236,16000,12.48,-21.53,0.6280,False
XC1005485_8968,1005485,8968,16000,5.64,-29.13,0.2127,False
XC1006786_13138,1006786,13138,16000,33.12,-22.35,0.5841,False
XC1006786_20816,1006786,20816,16000,33.60,-22.98,0.6482,False
XC1006786_642,1006786,642,16000,37.34,-19.72,0.9212,False
XC1006787_226,1006787,226,16000,36.15,-20.92,0.7708,False
XC1029034_14335,1029034,14335,16000,35.39,-16.39,0.9925,True
XC1029034_28707,1029034,28707,16000,22.38,-32.23,0.4218,False
XC1029034_41664,1029034,41664,16000,23.80,-28.92,0.3722,False
XC1029034_49966,1029034,49966,16000,25.50,-30.09,0.3730,False
XC1029034_55061,1029034,55061,16000,19.41,-35.23,0.2997,False
XC1029034_5560,1029034,5560,16000,28.56,-24.41,0.5737,False
XC1041026_17925,1041026,17925,16000,4.25,-38.01,0.0564,False
XC1041026_2413,1041026,2413,16000,3.71,-37.81,0.0612,False
XC1041026_27256,1041026,27256,16000,4.19,-40.10,0.0469,False
XC1041026_32201,1041026,32201,16000,3.27,-40.49,0.0465,False
XC1041026_37499,1041026,37499,16000,3.06,-40.89,0.0413,False
XC1041026_45615,1041026,45615,16000,3.08,-41.03,0.0457,False
XC1071405_1581,1071405,1581,16000,28.05,-21.47,0.6635,False
XC1071405_7346,1071405,7346,16000,11.16,-39.15,0.1097,False
XC113335_22839,113335,22839,16000,13.30,-22.06,0.6648,False
XC113335_29729,113335,29729,16000,13.21,-21.74,0.7370,False
XC113335_37805,113335,37805,16000,13.35,-22.03,0.6121,False
XC113335_62805,113335,62805,16000,8.30,-27.22,0.4348,False
XC113335_696,113335,696,16000,13.96,-21.32,0.5981,False
XC113335_8461,113335,8461,16000,13.90,-21.88,0.7402,False
XC133013_16436,133013,16436,16000,23.81,-27.23,0.2919,False
XC133013_24612,133013,24612,16000,29.98,-19.24,0.4713,False
XC133013_42993,133013,42993,16000,23.04,-26.46,0.3244,False
XC133013_66443,133013,66443,16000,34.78,-16.44,0.7097,False
XC133013_72052,133013,72052,16000,35.90,-14.24,0.7523,False
XC161191_113,161191,113,16000,18.75,-24.63,0.4379,False
XC161194_12570,161194,12570,16000,27.51,-23.94,0.4514,False
XC161194_5138,161194,5138,16000,22.25,-31.57,0.2335,False
XC161194_70,161194,70,16000,23.28,-29.43,0.2213,False
XC161195_138,161195,138,16000,22.83,-23.65,0.3993,False
XC161197_11525,161197,11525,16000,21.30,-25.43,0.3400,False
XC161197_142,161197,142,16000,14.63,-30.37,0.2238,False
XC161197_4006,161197,4006,16000,21.31,-26.91,0.3553,False
XC161197_7375,161197,7375,16000,26.29,-25.64,0.3528,False
XC161198_13995,161198,13995,16000,14.35,-28.04,0.2434,False
XC161198_738,161198,738,16000,14.90,-23.74,0.3943,False
XC161199_10865,161199,10865,16000,35.32,-17.52,0.6962,False
XC161199_14640,161199,14640,16000,37.36,-16.70,0.6898,False
XC161199_20301,161199,20301,16000,36.02,-17.42,0.6127,False
XC161199_5739,161199,5739,16000,31.95,-19.00,0.6936,False
XC161431_20840,161431,20840,16000,15.28,-45.26,0.0897,False
XC161431_26972,161431,26972,16000,25.41,-31.21,0.3806,False
XC161431_31311,161431,31311,16000,27.87,-28.10,0.4732,False
XC161431_47293,161431,47293,16000,29.76,-21.81,0.4634,False
XC161431_69478,161431,69478,16000,25.36,-26.08,0.4012,False
XC161431_8233,161431,8233,16000,18.23,-41.54,0.1074,False
XC161968_0,161968,0,16000,12.54,-35.78,0.1470,False
XC161968_15274,161968,15274,16000,25.69,-26.02,0.3992,False
XC161968_21201,161968,21201,16000,26.21,-24.92,0.3591,False
XC161968_3749,161968,3749,16000,24.87,-26.66,0.4531,False
XC161968_6840,161968,6840,16000,20.59,-31.28,0.2792,False
XC162827_0,162827,0,16000,26.40,-38.18,0.1231,False
XC162827_12000,162827,12000,16000,28.27,-34.45,0.1895,False
XC162827_3000,162827,3000,16000,25.47,-39.08,0.0997,False
XC162827_6000,162827,6000,16000,29.79,-35.32,0.1602,False
XC162827_9000,162827,9000,16000,29.23,-34.53,0.1895,False
XC162828_11996,162828,11996,16000,29.84,-29.55,0.3806,False
XC162828_17482,162828,17482,16000,30.93,-26.21,0.4117,False
XC162828_20482,162828,20482,16000,28.72,-29.56,0.2990,False
XC162828_26597,162828,26597,16000,26.72,-32.22,0.2772,False
XC162828_296,162828,296,16000,29.97,-29.16,0.5312,False
XC162828_4518,162828,4518,16000,30.97,-27.16,0.4910,False
XC162828_7801,162828,7801,16000,22.87,-31.78,0.2515,False
XC166251_10346,166251,10346,16000,22.00,-29.04,0.2702,False
XC166251_182,166251,182,16000,26.96,-32.67,0.2342,False
XC166251_18944,166251,18944,16000,23.69,-32.24,0.2596,False
XC166251_25002,166251,25002,16000,19.39,-30.93,0.2355,False
XC166251_37767,166251,37767,16000,33.19,-30.17,0.2633,False
XC166251_43438,166251,43438,16000,23.75,-31.64,0.2788,False
XC175830_46,175830,46,16000,27.74,-18.06,0.4905,False
XC179229_104245,179229,104245,16000,19.75,-27.31,0.3250,False
XC179229_12086,179229,12086,16000,15.25,-24.17,0.3737,False
XC179229_18021,179229,18021,16000,21.77,-23.43,0.4387,False
XC179229_23700,179229,23700,16000,20.78,-24.28,0.3377,False
XC179229_29314,179229,29314,16000,19.83,-25.43,0.3311,False
XC179229_3349,179229,3349,16000,20.39,-22.51,0.4549,False
XC179229_51906,179229,51906,16000,16.54,-30.35,0.2104,False
XC179229_6751,179229,6751,16000,18.25,-24.32,0.4785,False
XC179229_68687,179229,68687,16000,19.69,-26.52,0.2762,False
XC179229_82770,179229,82770,16000,20.35,-25.92,0.3672,False
XC181991_19674,181991,19674,16000,20.05,-37.07,0.0898,False
XC181991_25757,181991,25757,16000,18.94,-37.33,0.1185,False
XC181991_31606,181991,31606,16000,19.71,-34.46,0.1199,False
XC181992_12077,181992,12077,16000,21.22,-22.20,0.3371,False
XC181992_16950,181992,16950,16000,21.22,-20.38,0.4393,False
XC181992_20332,181992,20332,16000,19.30,-20.66,0.3946,False
XC182810_12276,182810,12276,16000,8.67,-23.07,0.5509,False
XC182810_268,182810,268,16000,6.36,-20.24,0.6000,False
XC182810_7612,182810,7612,16000,7.64,-24.55,0.4982,False
XC189420_10568,189420,10568,16000,12.58,-28.81,0.1794,False
XC189420_15056,189420,15056,16000,27.97,-28.59,0.2241,False
XC189420_21350,189420,21350,16000,15.39,-29.19,0.2074,False
XC189420_25865,189420,25865,16000,14.33,-26.26,0.3867,False
