# split_ratio=80:10:10 seed=42 objective=4 solver=mip_cbc
file_id,split
XC1002657_2860,train
XC1003831_2642,test
XC1006786_13138,test
XC1006786_20816,test
XC1006786_642,test
XC1006787_226,test
XC1029034_14335,train
XC1029034_28707,train
XC1029034_41664,train
XC1029034_49966,train
XC1029034_55061,train
XC1029034_5560,train
XC1041026_17925,train
XC1041026_2413,train
XC1041026_27256,train
XC1041026_32201,train
XC1041026_37499,train
XC1041026_45615,train
XC1071405_1581,val
XC1071405_7346,val
XC113335_22839,test
XC113335_29729,test
XC113335_37805,test
XC113335_62805,test
XC113335_696,test
XC113335_8461,test
XC133013_16436,train
XC133013_24612,train
XC133013_42993,train
XC133013_66443,train
XC133013_72052,train
XC161191_113,test
XC161194_12570,train
XC161194_5138,train
XC161194_70,train
XC161195_138,test
XC161197_11525,train
XC161197_142,train
XC161197_4006,train
XC161197_7375,train
XC161198_13995,test
XC161198_738,test
XC161199_10865,train
XC161199_14640,train
XC161199_20301,train
XC161199_5739,train
XC161431_20840,train
XC161431_26972,train
XC161431_31311,train
XC161431_47293,train
XC161431_69478,train
XC161431_8233,train
XC161968_0,train
XC161968_15274,train
XC161968_21201,train
XC161968_3749,train
XC161968_6840,train
XC162827_0,train
XC162827_12000,train
XC162827_3000,train
XC162827_6000,train
XC162827_9000,train
XC162828_11996,val
XC162828_17482,val
XC162828_20482,val
XC162828_26597,val
XC162828_296,val
XC162828_4518,val
XC162828_7801,val
XC166251_10346,train
XC166251_182,train
XC166251_18944,train
XC166251_25002,train
XC166251_37767,train
XC166251_43438,train
XC175830_46,train
XC179229_104245,train
XC179229_12086,train
XC179229_18021,train
XC179229_23700,train
XC179229_29314,train
XC179229_3349,train
XC179229_51906,train
XC179229_6751,train
XC179229_68687,train
XC179229_82770,train
XC181991_19674,train
XC181991_25757,train
XC181991_31606,train
XC181992_12077,train
XC181992_16950,train
XC181992_20332,train
XC182810_12276,val
XC182810_268,val
XC182810_7612,val
XC189420_10568,train
XC189420_15056,train
XC189420_21350,train
XC189420_25865,train
XC189420_4243,train
XC189420_658,train
XC189420_7477,train
XC190308_1236,train
XC190308_20680,train
XC190308_24542,train
XC190308_30277,train
XC190308_33279,train
XC190873_0,val
XC190873_2728,val
XC190874_2452,train
XC19400_1044,train
XC19400_29855,train
XC19400_57109,train
XC194196_1534,train
XC194196_16751,train
XC194196_25316,train
XC194196_28799,train
XC194196_31967,train
XC194196_35301,train
XC194196_5033,train
XC194905_3994,test
XC194905_995,test
XC196584_12124,train
XC196584_15124,train
XC196584_21784,train
XC196584_25162,train
XC196584_36634,train
XC196584_43543,train
XC196584_52519,train
XC196584_55519,train
XC196584_6124,train
XC196584_9124,train
XC20267_11843,train
XC20267_15187,train
XC20267_3436,train
XC20267_66,train
XC20267_7058,train
XC236515_10244,train
XC236515_13301,train
XC236515_284,train
XC236515_6844,train
XC24590_10813,train
XC24590_14244,train
XC24590_17810,train
XC24590_23830,train
XC24590_3163,train
XC24590_7017,train
XC24591_1044,train
XC24591_13156,train
XC24591_5473,train
XC24591_9301,train
XC27611_0,train
XC27611_11378,train
XC27611_33154,train
XC27611_36387,train
XC27611_63043,train
XC290513_3402,train
XC290513_402,train
XC290513_6402,train
XC290513_9402,train
XC29590_121274,test
XC29590_35263,test
XC29590_423,test
XC29590_46752,test
XC29590_49752,test
XC29590_6541,test
XC29590_66284,test
XC29590_74435,test
XC29590_9541,test
XC29590_96130,test
XC29594_10014,val
XC29594_13949,val
XC29594_17310,val
XC29594_20472,val
XC29594_2282,val
XC29594_23886,val
XC29594_6602,val
XC301717_0,train
XC301717_12000,train
XC301717_15000,train
XC301717_18000,train
XC301717_3000,train
XC301717_6000,train
XC301717_9000,train
XC305691_1164,test
XC305691_4165,test
XC309568_11850,train
XC309568_1570,train
XC309568_4805,train
XC309568_8036,train
XC311271_1282,train
XC311271_14109,train
XC311271_17344,train
XC311271_33505,train
XC314337_13240,train
XC314337_5340,train
XC314337_667,train
XC314337_9308,train
XC314339_375,test
XC314339_9558,test
XC31590_1055,train
XC31590_11841,train
XC31590_4694,train
XC31590_7909,train
XC327430_11577,train
XC327430_19913,train
XC327430_4519,train
XC35804_166,train
XC35804_3475,train
XC35804_6795,train
XC38335_10140,val
XC38335_13141,val
XC38335_16163,val
XC38335_23935,val
XC38335_26929,val
XC38335_3738,val
XC38335_735,val
XC400193_12377,train
XC400193_16231,train
XC400193_20286,train
XC400193_3388,train
XC400193_8629,train
XC400194_13915,train
XC400194_30872,train
XC400194_34567,train
XC400194_686,train
XC400194_7636,train
XC414018_3511,train
XC414018_511,train
XC423125_1003,train
XC423125_16602,train
XC423125_22495,train
XC423125_29639,train
XC426538_4983,test
XC426538_9812,test
XC444228_2004,test
XC514743_13774,train
XC514743_181,train
XC514743_4353,train
XC514743_8446,train
XC518843_1012,train
XC518843_20686,train
XC518843_23980,train
XC518843_37834,train
XC518843_41917,train
XC518843_57378,train
XC518843_6179,train
XC523554_13557,train
XC523554_17370,train
XC523554_8463,train
XC531611_0,train
XC531611_12000,train
XC531611_3000,train
XC531611_6000,train
XC531611_9000,train
XC531612_0,train
XC531612_11617,train
XC531612_14780,train
XC531612_18000,train
XC531612_21000,train
XC531612_24000,train
XC531612_3000,train
XC531612_6440,train
XC531612_9436,train
XC534388_1137,train
XC534388_13851,train
XC534388_4721,train
XC534388_8064,train
XC547505_11091,train
XC547505_19640,train
XC547505_24438,train
XC547505_42499,train
XC547505_960,train
XC551633_13284,train
XC551633_16305,train
XC551633_19306,train
XC551633_22326,train
XC551633_28548,train
XC551633_31589,train
XC551633_34590,train
XC551633_37851,train
XC551633_620,train
XC560109_14119,train
XC560109_4384,train
XC560109_85,train
XC566244_15977,train
XC566244_24753,train
XC566244_4930,train
XC578005_62,test
XC578352_15630,train
XC578352_19339,train
XC578352_24465,train
XC578352_28034,train
XC578352_3142,train
XC578352_6184,train
XC591315_15,test
XC591315_19111,test
XC591315_33306,test
XC591315_58283,test
XC591315_64619,test
XC594949_108562,train
XC594949_12338,train
XC594949_136324,train
XC594949_17159,train
XC594949_27975,train
XC594949_32382,train
XC594949_35831,train
XC594949_5753,train
XC594949_76889,train
XC594949_8753,train
XC594950_10382,val
XC594950_13712,val
XC594950_3330,val
XC594950_54919,val
XC594950_7122,val
XC594950_78829,val
XC594950_81832,val
XC594951_15060,train
XC594951_36005,train
XC594951_46212,train
XC594951_54245,train
XC594951_62707,train
XC594951_762,train
XC616994_12055,train
XC616994_4694,train
XC616994_605,train
XC616994_8390,train
XC635320_0,train
XC635320_10725,train
XC635320_27000,train
XC635320_29995,train
XC635320_3000,train
XC635320_33009,train
XC635320_37187,train
XC635320_40201,train
XC635320_6000,train
XC672602_232,train
XC672602_3736,train
XC672602_6736,train
XC696208_294,test
XC717548_12811,train
XC717548_19102,train
XC717548_6785,train
XC717548_9788,train
XC717548_981,train
XC717550_12125,train
XC720533_14508,train
XC720533_19973,train
XC720533_404,train
XC720533_4721,train
XC720533_9287,train
XC73022_12983,train
XC73022_24437,train
XC73022_39913,train
XC73022_87,train
XC73023_29776,train
XC73023_38469,train
XC73023_52383,train
XC73023_55403,train
XC73023_71666,train
XC73023_75338,train
XC73023_83073,train
XC73024_23086,train
XC73024_28870,train
XC73024_41897,train
XC73024_51605,train
XC73024_66593,train
XC73024_91491,train
XC735667_10445,train
XC735667_13706,train
XC735667_17264,train
XC735667_20906,train
XC735667_26319,train
XC735667_2698,train
XC735667_6472,train
XC743612_12247,train
XC743612_17203,train
XC743612_24582,train
XC743612_28701,train
XC743612_3495,train
XC743612_426,train
XC743612_7450,train
XC753727_17582,val
XC753727_1997,val
XC753727_29113,val
XC753727_51898,val
XC753727_61152,val
XC753727_8939,val
XC761690_1901,train
XC761690_50724,train
XC761690_53979,train
XC761690_57117,train
XC761690_6019,train
XC78432_113,train
XC78432_15032,train
XC78432_21333,train
XC78432_25758,train
XC78432_29869,train
XC78432_33201,train
XC78432_6878,train
XC78433_14509,train
XC78433_1818,train
XC78433_18935,train
XC78433_33668,train
XC78433_5583,train
XC78433_9562,train
XC78434_1278,train
XC78434_13822,train
XC78434_22968,train
XC78434_29438,train
XC78434_39819,train
XC78434_5499,train
XC78434_9499,train
XC78435_100491,test
XC78435_108787,test
XC78435_1357,test
XC78435_19209,test
XC78435_31457,test
XC78435_4356,test
XC78435_50993,test
XC78435_66255,test
XC78435_70228,test
XC78435_82727,test
XC786033_1491,train
XC786033_21658,train
XC786033_31966,train
XC786033_5364,train
XC786218_12989,train
XC786218_17583,train
XC786218_5725,train
XC786218_9257,train
XC786438_15529,train
XC786438_3383,train
XC786438_7793,train
XC787552_12717,train
XC787552_18451,train
XC787552_31584,train
XC787552_4886,train
XC787552_8986,train
XC787963_11767,train
XC787963_15044,train
XC787963_18293,train
XC787963_21972,train
XC787963_26065,train
XC787963_29065,train
XC787963_4535,train
XC787963_566,train
XC787963_8102,train
XC793876_1976,test
XC803097_429,val
XC803097_4862,val
XC808437_21397,train
XC808437_28800,train
XC808437_35000,train
XC808437_45281,train
XC808437_52215,train
XC808437_8040,train
XC812731_12804,train
XC812731_23831,train
XC812731_31706,train
XC812731_34965,train
XC812731_61149,train
XC812731_74300,train
XC812731_957,train
XC812732_15705,train
XC812732_23845,train
XC812732_269,train
XC812732_36486,train
XC812732_44885,train
XC812732_50312,train
XC812732_7312,train
XC812733_3571,test
XC812734_1039,test
XC812735_355,train
XC812737_10360,train
XC812737_1078,train
XC812737_14279,train
XC812737_22151,train
XC812737_25151,train
XC812737_28151,train
XC812737_34455,train
XC812737_4293,train
XC812737_7363,train
XC812796_0,train
XC841652_4863,test
XC841652_8293,test
XC858894_17427,train
XC858894_1812,train
XC858894_20680,train
XC858894_23754,train
XC858894_26813,train
XC858894_4983,train
XC858894_8155,train
XC862635_11392,train
XC862635_1312,train
XC862635_14395,train
XC862635_18102,train
XC862635_22554,train
XC862635_25666,train
XC862635_4316,train
XC862635_8388,train
XC891329_249,train
XC891329_3307,train
XC891329_6451,train
XC891329_9541,train
XC891808_6953,val
XC891808_837,val
XC893845_21365,train
XC893845_24400,train
XC893845_27411,train
XC893845_30446,train
XC893845_33457,train
XC893845_36468,train
XC893845_39478,train
XC893845_42489,train
XC893845_45500,train
XC893845_51161,train
XC893846_14402,train
XC901469_1748,train
XC908924_3160,train
XC917586_14215,train
XC917586_3303,train
XC917586_8491,train
XC923018_11593,train
XC923018_13906,train
XC923018_16264,train
XC923018_18576,train
XC923018_20919,train
XC923018_6612,train
XC923018_9117,train
XC937630_10640,val
XC937630_13872,val
XC937630_1703,val
XC937630_17816,val
XC937630_23816,val
XC937630_26816,val
XC937630_7398,val
XC949668_6924,train
XC954926_177,test
XC954926_3240,test
XC956211_141,train
XC956211_14340,train
XC956211_25525,train
XC956211_33110,train
XC956211_37157,train
XC956211_4112,train
XC956211_41778,train
XC956211_46367,train
XC956211_50796,train
XC956211_54047,train
XC963368_802,train
XC963858_1747,train
XC963858_20088,train
XC963858_45337,train
XC963858_56556,train
XC963858_6351,train
XC963858_63976,train
XC963859_1236,val
XC963859_5423,val
XC983831_1567,val
XC983831_4836,val
XC983831_7939,val
XC986141_11456,train
XC986141_1718,train
XC986141_5279,train
XC986141_8455,train
XC993640_324,train
XC993640_3357,train
XC993640_6423,train
XC995636_10005,train
XC995636_16532,train
XC995636_19603,train
XC995636_2055,train
XC995636_22872,train
XC1003556_0,train
XC1003556_5440,train
XC1005524_521,train
XC1005526_696,test
XC1005528_1388,val
XC1005528_4390,val
XC1005530_0,train
XC1005530_11896,train
XC1005530_2932,train
XC1005530_6289,train
XC1005530_9608,train
XC1005532_3062,train
XC1005532_62,train
XC1051597_0,test
XC1051597_3872,test
XC1075897_0,test
XC1075897_3000,test
XC1075897_9000,test
XC1075899_24060,val
XC1075899_27087,val
XC1075899_31789,val
XC1075899_3902,val
XC1075899_9444,val
XC121824_13057,train
XC121824_147,train
XC121824_16056,train
XC121824_25891,train
XC121824_28915,train
XC121824_3147,train
XC121824_39351,train
XC121824_44034,train
XC121824_7778,train
XC151134_0,train
XC151134_2999,train
XC151134_9712,train
XC151135_12240,train
XC151135_1442,train
XC151135_15358,train
XC151135_18642,train
XC151135_23667,train
XC151135_28908,train
XC151135_31943,train
XC151135_35045,train
XC151135_4461,train
XC151135_9088,train
XC151136_10485,train
XC151136_106568,train
XC151136_109568,train
XC151136_117334,train
XC151136_15686,train
XC151136_61201,train
XC151136_69004,train
XC151136_7121,train
XC151136_81113,train
XC151136_96160,train
XC151642_0,train
XC151642_12333,train
XC151642_15357,train
XC151642_18380,train
XC151642_23102,train
XC151642_27992,train
XC151642_3000,train
XC151642_31000,train
XC151642_9246,train
XC151815_109,test
XC151815_9000,test
XC152005_528,train
XC152653_24,train
XC152653_3095,train
XC152653_6113,train
XC164689_12999,test
XC164689_16168,test
XC164689_24801,test
XC164689_28893,test
XC164689_2994,test
XC164689_32610,test
XC164689_35929,test
XC164689_39347,test
XC164689_43289,test
XC164689_47431,test
XC164692_12509,train
XC164692_17824,train
XC164692_23954,train
XC164692_28926,train
XC164692_3573,train
XC164692_8389,train
XC164693_10828,train
XC164693_14506,train
XC164693_19096,train
XC164693_24775,train
XC164693_28600,train
XC164693_32367,train
XC164693_3501,train
XC164693_36957,train
