file_id,source_id,onset_ms,sampling_rate,snr_db,rms_db,peak_amplitude,is_clipped
XC100284_10593,100284,10593,16000,7.69,-38.77,0.0854,False
XC100284_13593,100284,13593,16000,4.87,-38.88,0.0697,False
XC100284_22316,100284,22316,16000,7.86,-37.97,0.0769,False
XC100284_2691,100284,2691,16000,6.72,-38.93,0.0966,False
XC100284_5691,100284,5691,16000,8.44,-36.60,0.0979,False
XC1003188_2195,1003188,2195,16000,23.10,-19.87,0.6054,False
XC1003188_5506,1003188,5506,16000,11.93,-32.28,0.1957,False
XC1004354_13666,1004354,13666,16000,19.09,-39.88,0.0843,False
XC1005487_0,1005487,0,16000,10.27,-28.35,0.3323,False
XC1005487_12070,1005487,12070,16000,5.41,-29.52,0.2742,False
XC1005487_15465,1005487,15465,16000,11.00,-23.19,0.7196,False
XC1005487_20328,1005487,20328,16000,8.70,-25.60,0.4384,False
XC1005487_3467,1005487,3467,16000,7.54,-31.51,0.2250,False
XC1005487_8133,1005487,8133,16000,5.57,-28.71,0.2311,False
XC102121_1150,102121,1150,16000,16.03,-39.47,0.3024,False
XC102121_15401,102121,15401,16000,18.78,-40.82,0.1354,False
XC102121_21355,102121,21355,16000,16.70,-40.58,0.1227,False
XC102121_33947,102121,33947,16000,27.31,-31.01,0.2334,False
XC102121_36602,102121,36602,16000,28.16,-31.00,0.2382,False
XC102121_39048,102121,39048,16000,29.97,-29.48,0.3150,False
XC102121_3978,102121,3978,16000,33.94,-21.10,0.8647,False
XC102121_41104,102121,41104,16000,31.69,-27.91,0.3272,False
XC102121_42894,102121,42894,16000,28.94,-29.82,0.3272,False
XC102121_44713,102121,44713,16000,21.76,-36.20,0.1876,False
XC102122_100538,102122,100538,16000,40.18,-20.91,0.6051,False
XC102122_1477,102122,1477,16000,26.69,-29.20,0.3069,False
XC102122_19777,102122,19777,16000,43.28,-14.42,0.8693,False
XC102122_43576,102122,43576,16000,42.12,-14.46,0.7361,False
XC102122_64887,102122,64887,16000,40.84,-17.51,0.6346,False
XC102122_86525,102122,86525,16000,36.87,-23.06,0.5216,False
XC102123_20091,102123,20091,16000,35.60,-19.89,0.8577,False
XC102123_23084,102123,23084,16000,15.76,-39.95,0.1497,False
XC102123_33895,102123,33895,16000,25.34,-28.47,0.4956,False
XC102123_37796,102123,37796,16000,17.92,-33.31,0.2255,False
XC102123_837,102123,837,16000,40.74,-14.66,0.9163,False
XC102124_13853,102124,13853,16000,20.22,-36.16,0.4521,False
XC102124_1682,102124,1682,16000,31.27,-21.32,0.6166,False
XC102124_21170,102124,21170,16000,14.03,-38.05,0.4255,False
XC102124_24980,102124,24980,16000,7.42,-42.93,0.0484,False
XC102124_30462,102124,30462,16000,26.82,-23.85,0.4469,False
XC102124_37836,102124,37836,16000,26.46,-26.87,0.4163,False
XC102124_47384,102124,47384,16000,37.26,-17.68,0.8269,False
XC102124_61166,102124,61166,16000,25.96,-26.02,0.4761,False
XC102124_68726,102124,68726,16000,9.61,-37.75,0.3047,False
XC1041255_311,1041255,311,16000,24.88,-24.68,0.3551,False
XC1041255_3311,1041255,3311,16000,23.32,-28.04,0.1904,False
XC1043055_23159,1043055,23159,16000,15.85,-40.52,0.0652,False
XC1043055_28370,1043055,28370,16000,14.44,-43.84,0.0698,False
XC1043055_32213,1043055,32213,16000,16.57,-41.18,0.0727,False
XC1043055_8127,1043055,8127,16000,14.71,-44.06,0.0581,False
XC110873_1780,110873,1780,16000,20.62,-19.60,0.7113,False
XC110874_1357,110874,1357,16000,8.39,-23.40,0.6714,False
XC110875_789,110875,789,16000,19.74,-24.04,0.5015,False
XC110876_2768,110876,2768,16000,10.11,-28.67,0.3835,False
XC110876_40013,110876,40013,16000,12.93,-18.02,0.8296,False
XC110879_11854,110879,11854,16000,26.17,-21.90,0.5026,False
XC110879_20499,110879,20499,16000,22.51,-27.57,0.4472,False
XC110879_2050,110879,2050,16000,25.35,-21.95,0.7008,False
XC110879_22088,110879,22088,16000,13.07,-35.01,0.1841,False
XC110879_28572,110879,28572,16000,13.66,-28.72,0.3144,False
XC110879_3115,110879,3115,16000,24.36,-21.98,0.7024,False
XC110879_36950,110879,36950,16000,22.48,-21.88,0.6176,False
XC110879_48935,110879,48935,16000,15.49,-35.35,0.1890,False
XC110879_54924,110879,54924,16000,21.98,-28.77,0.2577,False
XC110879_61945,110879,61945,16000,21.42,-31.38,0.3877,False
XC110880_1833,110880,1833,16000,14.52,-25.41,0.4543,False
XC110880_7160,110880,7160,16000,18.36,-23.73,0.5837,False
XC110881_10447,110881,10447,16000,10.98,-33.91,0.1535,False
XC110881_13461,110881,13461,16000,19.90,-25.40,0.5389,False
XC110881_16615,110881,16615,16000,20.58,-24.46,0.6457,False
XC110881_21763,110881,21763,16000,6.51,-36.63,0.1958,False
XC110881_4232,110881,4232,16000,7.04,-37.04,0.1765,False
XC110881_7328,110881,7328,16000,16.55,-28.73,0.4075,False
XC110882_2900,110882,2900,16000,15.49,-27.08,0.6598,False
XC116708_18736,116708,18736,16000,27.40,-28.94,0.3776,False
XC116708_23565,116708,23565,16000,15.69,-39.77,0.1615,False
XC116708_2576,116708,2576,16000,16.74,-39.23,0.2010,False
XC116708_30783,116708,30783,16000,5.81,-49.62,0.0500,False
XC116708_34730,116708,34730,16000,24.45,-31.88,0.3025,False
XC116708_40947,116708,40947,16000,15.80,-40.44,0.1695,False
XC116708_42677,116708,42677,16000,11.62,-44.18,0.1068,False
XC116708_46279,116708,46279,16000,21.67,-34.41,0.2525,False
XC116708_58125,116708,58125,16000,29.28,-25.07,0.4101,False
XC142966_1264,142966,1264,16000,21.19,-21.53,0.6588,False
XC142966_13313,142966,13313,16000,19.12,-21.44,0.4979,False
XC142966_19337,142966,19337,16000,14.38,-28.09,0.3245,False
XC142966_34561,142966,34561,16000,12.93,-27.28,0.3509,False
XC142966_46944,142966,46944,16000,11.85,-32.59,0.2325,False
XC142966_8272,142966,8272,16000,7.51,-33.29,0.1850,False
XC156759_12488,156759,12488,16000,10.50,-40.59,0.1062,False
XC156759_1385,156759,1385,16000,15.04,-36.42,0.1526,False
XC156759_17313,156759,17313,16000,9.13,-36.34,0.1205,False
XC156759_22989,156759,22989,16000,22.29,-33.61,0.2033,False
XC156759_27095,156759,27095,16000,13.35,-40.35,0.0878,False
XC156759_30381,156759,30381,16000,13.48,-33.18,0.2009,False
XC156759_43495,156759,43495,16000,16.23,-38.84,0.1270,False
XC156759_44702,156759,44702,16000,16.37,-38.33,0.1252,False
XC156759_46032,156759,46032,16000,22.17,-33.73,0.2123,False
XC156759_5483,156759,5483,16000,16.73,-31.77,0.2318,False
XC183763_15860,183763,15860,16000,20.24,-24.91,0.7432,False
XC183763_2486,183763,2486,16000,17.38,-22.62,0.6971,False
XC183763_36790,183763,36790,16000,13.27,-19.19,0.9529,False
XC183763_52496,183763,52496,16000,10.07,-34.92,0.3750,False
XC183763_56857,183763,56857,16000,12.91,-31.77,0.4622,False
XC183763_59424,183763,59424,16000,7.14,-37.27,0.1671,False
XC184794_2004,184794,2004,16000,6.57,-37.65,0.1471,False
XC184794_5043,184794,5043,16000,11.90,-29.40,0.2876,False
XC185711_12689,185711,12689,16000,17.29,-26.77,0.4350,False
XC185711_19587,185711,19587,16000,11.10,-25.67,0.4437,False
XC185711_425,185711,425,16000,12.15,-20.49,0.6088,False
XC185711_8700,185711,8700,16000,6.34,-37.77,0.1046,False
XC187036_581,187036,581,16000,18.34,-21.21,0.5537,False
XC192299_0,192299,0,16000,21.48,-27.65,0.3343,False
XC192299_11066,192299,11066,16000,7.12,-43.23,0.1221,False
XC192299_17298,192299,17298,16000,14.74,-26.43,0.2591,False
XC192299_34897,192299,34897,16000,16.37,-29.11,0.2271,False
XC192299_5050,192299,5050,16000,23.49,-25.37,0.3793,False
XC194208_0,194208,0,16000,19.13,-36.59,0.1193,False
XC194208_10300,194208,10300,16000,25.78,-35.27,0.1295,False
XC194208_18385,194208,18385,16000,20.07,-41.20,0.0618,False
XC194208_25489,194208,25489,16000,19.08,-38.32,0.0986,False
XC208162_13327,208162,13327,16000,19.00,-32.09,0.2800,False
XC208162_19268,208162,19268,16000,13.43,-38.64,0.1624,False
XC208162_22273,208162,22273,16000,12.34,-37.43,0.1681,False
XC208162_25293,208162,25293,16000,10.81,-37.33,0.1602,False
XC208162_29577,208162,29577,16000,11.51,-37.71,0.1357,False
XC208162_34312,208162,34312,16000,14.59,-35.49,0.2267,False
XC208162_38239,208162,38239,16000,15.07,-33.48,0.2918,False
XC208162_4718,208162,4718,16000,11.26,-37.46,0.1173,False
XC208162_735,208162,735,16000,13.97,-35.94,0.1567,False
XC294325_12179,294325,12179,16000,19.77,-44.78,0.0475,False
XC294325_1617,294325,1617,16000,22.68,-38.68,0.0839,False
XC294325_26855,294325,26855,16000,14.51,-47.84,0.0447,False
XC294325_47052,294325,47052,16000,28.07,-38.62,0.1077,False
XC294605_1140,294605,1140,16000,17.80,-39.44,0.1339,False
XC294605_14856,294605,14856,16000,18.27,-41.39,0.0546,False
XC294605_15566,294605,15566,16000,9.88,-41.15,0.0546,False
XC294605_434,294605,434,16000,17.36,-39.67,0.1464,False
XC294605_8440,294605,8440,16000,11.21,-36.13,0.1071,False
XC295122_10571,295122,10571,16000,20.32,-25.29,0.3104,False
XC295122_23824,295122,23824,16000,21.10,-25.94,0.3671,False
XC295122_256,295122,256,16000,14.73,-33.83,0.1510,False
XC295122_34824,295122,34824,16000,20.92,-25.39,0.4674,False
XC295122_49094,295122,49094,16000,21.66,-27.80,0.3266,False
XC295122_64120,295122,64120,16000,8.60,-23.39,0.3066,False
XC295122_82712,295122,82712,16000,17.52,-22.75,0.4185,False
XC309110_3020,309110,3020,16000,14.39,-36.75,0.1104,False
XC309110_7170,309110,7170,16000,10.77,-37.08,0.1093,False
XC309110_8,309110,8,16000,14.41,-34.91,0.5781,False
XC311114_12562,311114,12562,16000,11.24,-39.92,0.0936,False
XC311114_17106,311114,17106,16000,15.41,-35.48,0.1891,False
XC311114_2133,311114,2133,16000,17.22,-33.34,0.2114,False
XC311114_8038,311114,8038,16000,11.29,-38.22,0.1335,False
XC311115_11883,311115,11883,16000,16.30,-29.99,0.2008,False
XC311115_1447,311115,1447,16000,22.32,-27.63,0.2726,False
XC311115_20733,311115,20733,16000,19.60,-36.59,0.1003,False
XC311116_11531,311116,11531,16000,17.86,-35.06,0.1378,False
XC311116_1447,311116,1447,16000,13.94,-35.76,0.1442,False
XC311116_17025,311116,17025,16000,15.30,-33.58,0.1577,False
