species,file,valid,error,duration,sample_rate,num_samples,rms_db,peak_amplitude,snr_db,is_silent,is_clipped,duration_ok
Common Myna,xc100284_10593.wav,True,,3.0,44100,132300,-38.271602630615234,0.08642578125,6.07,False,False,True
Common Myna,xc100284_13593.wav,True,,3.0,44100,132300,-38.302913665771484,0.073272705078125,3.92,False,False,True
Common Myna,xc100284_22316.wav,True,,3.0,44100,132300,-37.59765625,0.089141845703125,6.51,False,False,True
Common Myna,xc100284_2691.wav,True,,3.0,44100,132300,-38.35541534423828,0.105224609375,5.51,False,False,True
Common Myna,xc100284_5691.wav,True,,3.0,44100,132300,-36.234344482421875,0.116546630859375,7.06,False,False,True
Common Myna,xc1003188_2195.wav,True,,3.0,44100,132300,-19.835813522338867,0.62725830078125,23.12,False,False,True
Common Myna,xc1003188_5506.wav,True,,3.0,44100,132300,-32.20225143432617,0.190093994140625,11.73,False,False,True
Common Myna,xc1004354_13666.wav,True,,3.0,44100,132300,-39.8502197265625,0.082244873046875,19.05,False,False,True
Common Myna,xc102121_1150.wav,True,,3.0,44100,132300,-39.438289642333984,0.315399169921875,15.93,False,False,True
Common Myna,xc102121_15401.wav,True,,3.0,44100,132300,-40.80815887451172,0.1353759765625,18.32,True,False,True
Common Myna,xc102121_21355.wav,True,,3.0,44100,132300,-40.5726432800293,0.12542724609375,16.34,True,False,True
Common Myna,xc102121_33947.wav,True,,3.0,44100,132300,-30.9939022064209,0.235931396484375,26.73,False,False,True
Common Myna,xc102121_36602.wav,True,,3.0,44100,132300,-30.983688354492188,0.237945556640625,27.64,False,False,True
Common Myna,xc102121_39048.wav,True,,3.0,44100,132300,-29.479515075683594,0.32684326171875,29.62,False,False,True
Common Myna,xc102121_3978.wav,True,,3.0,44100,132300,-21.095096588134766,0.87481689453125,33.78,False,False,True
Common Myna,xc102121_41104.wav,True,,3.0,44100,132300,-27.90642738342285,0.327880859375,31.47,False,False,True
Common Myna,xc102121_42894.wav,True,,3.0,44100,132300,-29.815872192382812,0.327880859375,28.80,False,False,True
Common Myna,xc102121_44713.wav,True,,3.0,44100,132300,-36.195133209228516,0.196044921875,21.58,False,False,True
Common Myna,xc102122_100538.wav,True,,3.0,44100,132300,-20.895809173583984,0.646697998046875,40.01,False,False,True
Common Myna,xc102122_1477.wav,True,,3.0,44100,132300,-29.177310943603516,0.324462890625,26.65,False,False,True
Common Myna,xc102122_19777.wav,True,,3.0,44100,132300,-14.406782150268555,0.870361328125,43.20,False,False,True
Common Myna,xc102122_43576.wav,True,,3.0,44100,132300,-14.446125984191895,0.7381591796875,42.20,False,False,True
Common Myna,xc102122_64887.wav,True,,3.0,44100,132300,-17.5052490234375,0.64813232421875,40.73,False,False,True
Common Myna,xc102122_86525.wav,True,,3.0,44100,132300,-23.05628204345703,0.541839599609375,36.66,False,False,True
Common Myna,xc102123_20091.wav,True,,3.0,44100,132300,-19.76047706604004,0.89825439453125,35.62,False,False,True
Common Myna,xc102123_23084.wav,True,,3.0,44100,132300,-39.93584442138672,0.154541015625,15.58,False,False,True
Common Myna,xc102123_33895.wav,True,,3.0,44100,132300,-28.424463272094727,0.489044189453125,25.27,False,False,True
Common Myna,xc102123_37796.wav,True,,3.0,44100,132300,-33.30876922607422,0.22418212890625,17.85,False,False,True
Common Myna,xc102123_837.wav,True,,3.0,44100,132300,-14.64571762084961,0.9412841796875,40.61,False,False,True
Common Myna,xc102124_13853.wav,True,,3.0,44100,132300,-36.017215728759766,0.50390625,19.72,False,False,True
Common Myna,xc102124_1682.wav,True,,3.0,44100,132300,-21.217098236083984,0.74334716796875,31.32,False,False,True
Common Myna,xc102124_21170.wav,True,,3.0,44100,132300,-38.01284408569336,0.461151123046875,13.80,False,False,True
Common Myna,xc102124_24980.wav,True,,3.0,44100,132300,-42.86039733886719,0.0517578125,7.47,True,False,True
Common Myna,xc102124_30462.wav,True,,3.0,44100,132300,-23.781391143798828,0.501068115234375,26.83,False,False,True
Common Myna,xc102124_37836.wav,True,,3.0,44100,132300,-26.827775955200195,0.517333984375,26.15,False,False,True
Common Myna,xc102124_47384.wav,True,,3.0,44100,132300,-16.889177322387695,0.89434814453125,37.42,False,False,True
Common Myna,xc102124_61166.wav,True,,3.0,44100,132300,-25.96139907836914,0.565216064453125,25.80,False,False,True
Common Myna,xc102124_68726.wav,True,,3.0,44100,132300,-37.71408462524414,0.310211181640625,9.52,False,False,True
Common Myna,xc1041255_311.wav,True,,3.0,44100,132300,-24.6658992767334,0.364654541015625,24.74,False,False,True
Common Myna,xc1041255_3311.wav,True,,3.0,44100,132300,-27.994298934936523,0.20654296875,23.04,False,False,True
Common Myna,xc1043055_23159.wav,True,,3.0,44100,132300,-40.128456115722656,0.0926513671875,16.29,True,False,True
Common Myna,xc1043055_28370.wav,True,,3.0,44100,132300,-43.36465835571289,0.083953857421875,14.93,True,False,True
Common Myna,xc1043055_32213.wav,True,,3.0,44100,132300,-40.67344665527344,0.090087890625,17.06,True,False,True
Common Myna,xc1043055_8127.wav,True,,3.0,44100,132300,-43.62838363647461,0.06976318359375,15.12,True,False,True
Common Myna,xc110873_1780.wav,True,,3.0,44100,132300,-19.60297966003418,0.71600341796875,20.57,False,False,True
Common Myna,xc110874_1357.wav,True,,3.0,44100,132300,-23.394187927246094,0.742767333984375,8.38,False,False,True
Common Myna,xc110875_789.wav,True,,3.0,44100,132300,-24.033689498901367,0.50311279296875,19.72,False,False,True
Common Myna,xc110876_2768.wav,True,,3.0,44100,132300,-28.658939361572266,0.38946533203125,10.11,False,False,True
Common Myna,xc110876_40013.wav,True,,3.0,44100,132300,-18.006092071533203,0.873809814453125,12.89,False,False,True
Common Myna,xc110879_11854.wav,True,,3.0,44100,132300,-21.898948669433594,0.505767822265625,26.15,False,False,True
Common Myna,xc110879_20499.wav,True,,3.0,44100,132300,-27.561729431152344,0.46685791015625,22.45,False,False,True
Common Myna,xc110879_2050.wav,True,,3.0,44100,132300,-21.942432403564453,0.736968994140625,25.36,False,False,True
Common Myna,xc110879_22088.wav,True,,3.0,44100,132300,-34.99565887451172,0.191131591796875,13.08,False,False,True
Common Myna,xc110879_28572.wav,True,,3.0,44100,132300,-28.696063995361328,0.335662841796875,13.62,False,False,True
Common Myna,xc110879_3115.wav,True,,3.0,44100,132300,-21.978864669799805,0.736968994140625,24.36,False,False,True
Common Myna,xc110879_36950.wav,True,,3.0,44100,132300,-21.877643585205078,0.643890380859375,22.49,False,False,True
Common Myna,xc110879_48935.wav,True,,3.0,44100,132300,-35.32841110229492,0.20489501953125,15.52,False,False,True
Common Myna,xc110879_54924.wav,True,,3.0,44100,132300,-28.753633499145508,0.263671875,22.02,False,False,True
Common Myna,xc110879_61945.wav,True,,3.0,44100,132300,-31.371095657348633,0.386322021484375,21.41,False,False,True
Common Myna,xc110880_1833.wav,True,,3.0,44100,132300,-25.40839195251465,0.47747802734375,14.54,False,False,True
Common Myna,xc110880_7160.wav,True,,3.0,44100,132300,-23.730289459228516,0.58062744140625,18.36,False,False,True
Common Myna,xc110881_10447.wav,True,,3.0,44100,132300,-33.90956497192383,0.1630859375,10.97,False,False,True
Common Myna,xc110881_13461.wav,True,,3.0,44100,132300,-25.393253326416016,0.54779052734375,19.92,False,False,True
Common Myna,xc110881_16615.wav,True,,3.0,44100,132300,-24.4521484375,0.66162109375,20.53,False,False,True
Common Myna,xc110881_21763.wav,True,,3.0,44100,132300,-36.60840606689453,0.19940185546875,6.58,False,False,True
Common Myna,xc110881_4232.wav,True,,3.0,44100,132300,-37.02542495727539,0.1741943359375,7.03,False,False,True
Common Myna,xc110881_7328.wav,True,,3.0,44100,132300,-28.7239933013916,0.411102294921875,16.52,False,False,True
Common Myna,xc110882_2900.wav,True,,3.0,44100,132300,-27.068408966064453,0.668701171875,15.47,False,False,True
Common Myna,xc116708_18736.wav,True,,3.0,44100,132300,-28.92643165588379,0.388763427734375,27.63,False,False,True
Common Myna,xc116708_23565.wav,True,,3.0,44100,132300,-39.76827621459961,0.178192138671875,15.86,False,False,True
Common Myna,xc116708_2576.wav,True,,3.0,44100,132300,-39.225433349609375,0.219451904296875,16.73,False,False,True
Common Myna,xc116708_30783.wav,True,,3.0,44100,132300,-49.624542236328125,0.054412841796875,5.80,True,False,True
Common Myna,xc116708_34730.wav,True,,3.0,44100,132300,-31.877296447753906,0.34771728515625,24.43,False,False,True
Common Myna,xc116708_40947.wav,True,,3.0,44100,132300,-40.43933868408203,0.19256591796875,15.82,True,False,True
Common Myna,xc116708_42677.wav,True,,3.0,44100,132300,-44.17655944824219,0.110443115234375,11.58,True,False,True
Common Myna,xc116708_46279.wav,True,,3.0,44100,132300,-34.409908294677734,0.2542724609375,21.64,False,False,True
Common Myna,xc116708_58125.wav,True,,3.0,44100,132300,-25.047042846679688,0.417083740234375,29.20,False,False,True
Common Myna,xc142966_1264.wav,True,,3.0,44100,132300,-21.52290153503418,0.655426025390625,20.20,False,False,True
Common Myna,xc142966_13313.wav,True,,3.0,44100,132300,-21.428096771240234,0.510589599609375,18.27,False,False,True
Common Myna,xc142966_19337.wav,True,,3.0,44100,132300,-28.04144287109375,0.324493408203125,13.20,False,False,True
Common Myna,xc142966_34561.wav,True,,3.0,44100,132300,-27.243566513061523,0.369415283203125,12.16,False,False,True
Common Myna,xc142966_46944.wav,True,,3.0,44100,132300,-32.46260070800781,0.23565673828125,10.44,False,False,True
Common Myna,xc142966_8272.wav,True,,3.0,44100,132300,-33.13595962524414,0.21160888671875,6.79,False,False,True
Common Myna,xc156759_12488.wav,True,,3.0,44100,132300,-40.55725860595703,0.110443115234375,10.45,True,False,True
Common Myna,xc156759_1385.wav,True,,3.0,44100,132300,-36.4033203125,0.157806396484375,14.70,False,False,True
Common Myna,xc156759_17313.wav,True,,3.0,44100,132300,-36.31917190551758,0.123077392578125,9.16,False,False,True
Common Myna,xc156759_22989.wav,True,,3.0,44100,132300,-33.57792282104492,0.227752685546875,21.66,False,False,True
Common Myna,xc156759_27095.wav,True,,3.0,44100,132300,-40.317230224609375,0.089996337890625,12.85,True,False,True
Common Myna,xc156759_30381.wav,True,,3.0,44100,132300,-33.15010070800781,0.201141357421875,13.57,False,False,True
Common Myna,xc156759_43495.wav,True,,3.0,44100,132300,-38.8089714050293,0.1279296875,15.68,False,False,True
Common Myna,xc156759_44702.wav,True,,3.0,44100,132300,-38.29574966430664,0.129425048828125,15.86,False,False,True
Common Myna,xc156759_46032.wav,True,,3.0,44100,132300,-33.707984924316406,0.254852294921875,21.46,False,False,True
Common Myna,xc156759_5483.wav,True,,3.0,44100,132300,-31.737865447998047,0.236968994140625,16.63,False,False,True
Common Myna,xc183763_15860.wav,True,,3.0,44100,132300,-24.656164169311523,1.0,20.00,False,True,True
Common Myna,xc183763_2486.wav,True,,3.0,44100,132300,-22.518827438354492,0.86248779296875,17.25,False,False,True
Common Myna,xc183763_36790.wav,True,,3.0,44100,132300,-19.075361251831055,1.0,13.30,False,True,True
Common Myna,xc183763_52496.wav,True,,3.0,44100,132300,-34.83208084106445,0.393463134765625,9.59,False,False,True
Common Myna,xc183763_56857.wav,True,,3.0,44100,132300,-31.679824829101562,0.44317626953125,12.49,False,False,True
Common Myna,xc183763_59424.wav,True,,3.0,44100,132300,-37.138465881347656,0.17791748046875,6.84,False,False,True
Common Myna,xc184794_2004.wav,True,,3.0,44100,132300,-37.41082763671875,0.16485595703125,6.73,False,False,True
Common Myna,xc184794_5043.wav,True,,3.0,44100,132300,-29.277563095092773,0.32281494140625,11.91,False,False,True
Common Myna,xc185711_12689.wav,True,,3.0,44100,132300,-26.737606048583984,0.455047607421875,17.33,False,False,True
Common Myna,xc185711_19587.wav,True,,3.0,44100,132300,-25.626394271850586,0.438995361328125,11.06,False,False,True
Common Myna,xc185711_425.wav,True,,3.0,44100,132300,-20.400630950927734,0.63751220703125,12.21,False,False,True
Common Myna,xc185711_8700.wav,True,,3.0,44100,132300,-37.70929718017578,0.109375,6.19,False,False,True
Common Myna,xc187036_581.wav,True,,3.0,44100,132300,-21.20551109313965,0.57391357421875,18.30,False,False,True
Common Myna,xc192299_0.wav,True,,3.0,44100,132300,-27.632997512817383,0.343994140625,21.53,False,False,True
Common Myna,xc192299_11066.wav,True,,3.0,44100,132300,-43.1766357421875,0.134613037109375,7.19,True,False,True
Common Myna,xc192299_17298.wav,True,,3.0,44100,132300,-26.396759033203125,0.28045654296875,14.77,False,False,True
Common Myna,xc192299_34897.wav,True,,3.0,44100,132300,-29.059703826904297,0.2310791015625,16.37,False,False,True
Common Myna,xc192299_5050.wav,True,,3.0,44100,132300,-25.339326858520508,0.38787841796875,23.49,False,False,True
Common Myna,xc194208_0.wav,True,,3.0,44100,132300,-36.54241943359375,0.12237548828125,18.98,False,False,True
Common Myna,xc194208_10300.wav,True,,3.0,44100,132300,-35.21488571166992,0.1300048828125,25.40,False,False,True
Common Myna,xc194208_18385.wav,True,,3.0,44100,132300,-41.14826202392578,0.062469482421875,19.46,True,False,True
Common Myna,xc194208_25489.wav,True,,3.0,44100,132300,-38.26520919799805,0.1104736328125,18.56,False,False,True
Common Myna,xc208162_13327.wav,True,,3.0,44100,132300,-32.08366012573242,0.276763916015625,18.93,False,False,True
Common Myna,xc208162_19268.wav,True,,3.0,44100,132300,-38.62588882446289,0.173309326171875,13.37,False,False,True
Common Myna,xc208162_22273.wav,True,,3.0,44100,132300,-37.383304595947266,0.184295654296875,12.37,False,False,True
Common Myna,xc208162_25293.wav,True,,3.0,44100,132300,-37.32075500488281,0.164306640625,10.77,False,False,True
Common Myna,xc208162_29577.wav,True,,3.0,44100,132300,-37.693603515625,0.138946533203125,11.63,False,False,True
Common Myna,xc208162_34312.wav,True,,3.0,44100,132300,-35.467201232910156,0.230621337890625,14.58,False,False,True
Common Myna,xc208162_38239.wav,True,,3.0,44100,132300,-33.470767974853516,0.29156494140625,15.14,False,False,True
Common Myna,xc208162_4718.wav,True,,3.0,44100,132300,-37.45662307739258,0.1231689453125,11.37,False,False,True
Common Myna,xc208162_735.wav,True,,3.0,44100,132300,-35.924556732177734,0.156707763671875,13.91,False,False,True
Common Myna,xc294325_12179.wav,True,,3.0,44100,132300,-44.77561950683594,0.048370361328125,19.69,True,False,True
Common Myna,xc294325_1617.wav,True,,3.0,44100,132300,-38.671478271484375,0.08380126953125,22.58,False,False,True
Common Myna,xc294325_26855.wav,True,,3.0,44100,132300,-47.82795715332031,0.04949951171875,14.45,True,False,True
Common Myna,xc294325_47052.wav,True,,3.0,44100,132300,-38.615135192871094,0.10858154296875,27.92,False,False,True
Common Myna,xc294605_1140.wav,True,,3.0,44100,132300,-39.432838439941406,0.153106689453125,17.88,False,False,True
Common Myna,xc294605_14856.wav,True,,3.0,44100,132300,-41.3849983215332,0.056640625,18.23,True,False,True
Common Myna,xc294605_15566.wav,True,,3.0,44100,132300,-41.14456558227539,0.056640625,9.93,True,False,True
Common Myna,xc294605_434.wav,True,,3.0,44100,132300,-39.66681671142578,0.153106689453125,17.32,False,False,True
Common Myna,xc294605_8440.wav,True,,3.0,44100,132300,-36.12514114379883,0.121337890625,11.22,False,False,True
Common Myna,xc295122_10571.wav,True,,3.0,44100,132300,-25.289566040039062,0.313446044921875,20.29,False,False,True
Common Myna,xc295122_23824.wav,True,,3.0,44100,132300,-25.941482543945312,0.36810302734375,21.09,False,False,True
Common Myna,xc295122_256.wav,True,,3.0,44100,132300,-33.82843780517578,0.15313720703125,14.83,False,False,True
Common Myna,xc295122_34824.wav,True,,3.0,44100,132300,-25.38529396057129,0.494110107421875,21.02,False,False,True
Common Myna,xc295122_49094.wav,True,,3.0,44100,132300,-27.79750633239746,0.324737548828125,21.65,False,False,True
Common Myna,xc295122_64120.wav,True,,3.0,44100,132300,-23.386545181274414,0.315673828125,8.80,False,False,True
Common Myna,xc295122_82712.wav,True,,3.0,44100,132300,-22.75074005126953,0.421051025390625,17.52,False,False,True
Common Myna,xc309110_3020.wav,True,,3.0,44100,132300,-36.75103759765625,0.12176513671875,14.36,False,False,True
Common Myna,xc309110_7170.wav,True,,3.0,44100,132300,-37.07449722290039,0.1064453125,10.75,False,False,True
Common Myna,xc309110_8.wav,True,,3.0,44100,132300,-34.9025993347168,0.56365966796875,14.46,False,False,True
Common Myna,xc311114_12562.wav,True,,3.0,44100,132300,-39.9046630859375,0.09765625,11.27,False,False,True
Common Myna,xc311114_17106.wav,True,,3.0,44100,132300,-35.4569206237793,0.188018798828125,15.50,False,False,True
Common Myna,xc311114_2133.wav,True,,3.0,44100,132300,-33.326934814453125,0.20855712890625,17.16,False,False,True
Common Myna,xc311114_8038.wav,True,,3.0,44100,132300,-38.20369338989258,0.135467529296875,11.32,False,False,True
Common Myna,xc311115_11883.wav,True,,3.0,44100,132300,-29.984647750854492,0.20458984375,16.23,False,False,True
Common Myna,xc311115_1447.wav,True,,3.0,44100,132300,-27.62818145751953,0.27777099609375,22.27,False,False,True
Common Myna,xc311115_20733.wav,True,,3.0,44100,132300,-36.58171463012695,0.10345458984375,19.39,False,False,True
Common Myna,xc311116_11531.wav,True,,3.0,44100,132300,-35.054622650146484,0.1407470703125,17.79,False,False,True
Common Myna,xc311116_1447.wav,True,,3.0,44100,132300,-35.731407165527344,0.152130126953125,13.96,False,False,True
Common Myna,xc311116_17025.wav,True,,3.0,44100,132300,-33.57933807373047,0.160064697265625,15.22,False,False,True
Common Myna,xc311116_40720.wav,True,,3.0,44100,132300,-38.36460494995117,0.12158203125,9.98,False,False,True
Common Myna,xc331552_0.wav,True,,3.0,44100,132300,-45.06103515625,0.073516845703125,21.62,True,False,True
Common Myna,xc331552_12275.wav,True,,3.0,44100,132300,-55.31497573852539,0.019744873046875,8.82,True,False,True
Common Myna,xc331552_19974.wav,True,,3.0,44100,132300,-33.15217208862305,0.225341796875,30.40,False,False,True
Common Myna,xc331552_29534.wav,True,,3.0,44100,132300,-32.96603775024414,0.217193603515625,28.74,False,False,True
Common Myna,xc331552_6729.wav,True,,3.0,44100,132300,-31.952945709228516,0.18353271484375,31.45,False,False,True
Common Myna,xc331569_1640.wav,True,,3.0,44100,132300,-38.10684585571289,0.192230224609375,17.94,False,False,True
Common Myna,xc331569_4660.wav,True,,3.0,44100,132300,-34.037376403808594,0.346466064453125,21.38,False,False,True
Common Myna,xc331569_7685.wav,True,,3.0,44100,132300,-40.099788665771484,0.109893798828125,15.51,True,False,True
Common Myna,xc336261_0.wav,True,,3.0,44100,132300,-37.86037826538086,0.167724609375,18.00,False,False,True
Common Myna,xc336261_15421.wav,True,,3.0,44100,132300,-33.01069259643555,0.1787109375,18.66,False,False,True
Common Myna,xc364334_0.wav,True,,3.0,44100,132300,-19.50066375732422,0.60968017578125,7.36,False,False,True
Common Myna,xc364334_3000.wav,True,,3.0,44100,132300,-21.06574249267578,0.51910400390625,8.08,False,False,True
Common Myna,xc364334_30664.wav,True,,3.0,44100,132300,-23.06146812438965,0.424560546875,6.56,False,False,True
Common Myna,xc364334_62192.wav,True,,3.0,44100,132300,-24.246456146240234,0.4737548828125,8.88,False,False,True
Common Myna,xc364334_65191.wav,True,,3.0,44100,132300,-22.609230041503906,0.510955810546875,12.44,False,False,True
Common Myna,xc364334_68193.wav,True,,3.0,44100,132300,-21.906448364257812,0.513702392578125,12.35,False,False,True
Common Myna,xc364334_71197.wav,True,,3.0,44100,132300,-26.231517791748047,0.382476806640625,6.81,False,False,True
Common Myna,xc364334_74202.wav,True,,3.0,44100,132300,-26.063325881958008,0.324188232421875,7.41,False,False,True
Common Myna,xc364334_80276.wav,True,,3.0,44100,132300,-21.490589141845703,0.49969482421875,10.70,False,False,True
Common Myna,xc368954_1038.wav,True,,3.0,44100,132300,-22.214744567871094,0.4993896484375,10.79,False,False,True
Common Myna,xc368954_11405.wav,True,,3.0,44100,132300,-27.355884552001953,0.711700439453125,21.96,False,False,True
Common Myna,xc368954_7220.wav,True,,3.0,44100,132300,-15.9128999710083,0.969879150390625,18.52,False,False,True
Common Myna,xc369018_19741.wav,True,,3.0,44100,132300,-34.13682556152344,0.222320556640625,17.99,False,False,True
Common Myna,xc369018_23033.wav,True,,3.0,44100,132300,-37.45521926879883,0.1678466796875,15.77,False,False,True
Common Myna,xc369018_30350.wav,True,,3.0,44100,132300,-32.24063491821289,0.206939697265625,17.35,False,False,True
Common Myna,xc369018_7354.wav,True,,3.0,44100,132300,-33.57421875,0.236419677734375,12.44,False,False,True
Common Myna,xc369018_970.wav,True,,3.0,44100,132300,-24.904069900512695,0.55120849609375,21.73,False,False,True
Common Myna,xc379536_23421.wav,True,,3.0,44100,132300,-47.702903747558594,0.043701171875,15.12,True,False,True
Common Myna,xc379536_26907.wav,True,,3.0,44100,132300,-35.028846740722656,0.198577880859375,26.65,False,False,True
Common Myna,xc379536_33305.wav,True,,3.0,44100,132300,-35.77347183227539,0.206390380859375,12.40,False,False,True
Common Myna,xc379536_5340.wav,True,,3.0,44100,132300,-30.93865203857422,0.22906494140625,18.48,False,False,True
Common Myna,xc379536_9680.wav,True,,3.0,44100,132300,-33.60868453979492,0.24468994140625,20.46,False,False,True
Common Myna,xc395089_18226.wav,True,,3.0,44100,132300,-41.69973373413086,0.05389404296875,5.27,True,False,True
Common Myna,xc395089_2203.wav,True,,3.0,44100,132300,-42.78960418701172,0.05572509765625,5.00,True,False,True
Common Myna,xc395089_34046.wav,True,,3.0,44100,132300,-42.00217819213867,0.0614013671875,4.57,True,False,True
Common Myna,xc395089_41887.wav,True,,3.0,44100,132300,-39.017032623291016,0.070770263671875,7.91,False,False,True
Common Myna,xc395089_48784.wav,True,,3.0,44100,132300,-39.82240295410156,0.068878173828125,7.02,False,False,True
Common Myna,xc395089_59762.wav,True,,3.0,44100,132300,-38.72660827636719,0.099822998046875,7.68,False,False,True
Common Myna,xc395089_63229.wav,True,,3.0,44100,132300,-39.61002731323242,0.057373046875,4.20,False,False,True
Common Myna,xc395089_8684.wav,True,,3.0,44100,132300,-39.062538146972656,0.08709716796875,8.56,False,False,True
Common Myna,xc400123_10741.wav,True,,3.0,44100,132300,-35.133243560791016,0.23712158203125,22.57,False,False,True
Common Myna,xc400123_16803.wav,True,,3.0,44100,132300,-33.53305435180664,0.23748779296875,24.01,False,False,True
Common Myna,xc400123_24118.wav,True,,3.0,44100,132300,-38.285491943359375,0.2073974609375,20.47,False,False,True
Common Myna,xc400123_25603.wav,True,,3.0,44100,132300,-30.96542739868164,0.23223876953125,25.40,False,False,True
Common Myna,xc400123_3689.wav,True,,3.0,44100,132300,-40.94792175292969,0.13800048828125,17.93,True,False,True
Common Myna,xc400123_45367.wav,True,,3.0,44100,132300,-41.107215881347656,0.12908935546875,18.92,True,False,True
Common Myna,xc400123_47882.wav,True,,3.0,44100,132300,-34.84233856201172,0.24371337890625,22.08,False,False,True
Common Myna,xc40086_1144.wav,True,,3.0,44100,132300,-20.39837074279785,0.466796875,17.12,False,False,True
Common Myna,xc40086_11521.wav,True,,3.0,44100,132300,-30.86280632019043,0.229339599609375,7.70,False,False,True
Common Myna,xc40086_17259.wav,True,,3.0,44100,132300,-19.480510711669922,0.864532470703125,18.85,False,False,True
Common Myna,xc40086_26089.wav,True,,3.0,44100,132300,-16.682292938232422,0.926727294921875,20.97,False,False,True
Common Myna,xc40086_29089.wav,True,,3.0,44100,132300,-20.5794620513916,0.582366943359375,17.40,False,False,True
Common Myna,xc40086_41181.wav,True,,3.0,44100,132300,-17.999223709106445,0.924163818359375,18.60,False,False,True
Common Myna,xc40086_53456.wav,True,,3.0,44100,132300,-22.469083786010742,0.5098876953125,15.49,False,False,True
Common Myna,xc40086_60804.wav,True,,3.0,44100,132300,-23.661911010742188,0.409210205078125,14.13,False,False,True
Common Myna,xc40087_134743.wav,True,,3.0,44100,132300,-15.257925987243652,0.999969482421875,18.61,False,True,True
