# split_ratio=80:10:10 seed=42 objective=1 solver=mip_cbc
file_id,split
XC100284_10593,val
XC100284_13593,val
XC100284_22316,val
XC100284_2691,val
XC100284_5691,val
XC1003188_2195,train
XC1003188_5506,train
XC1004354_13666,test
XC102121_1150,train
XC102121_15401,train
XC102121_21355,train
XC102121_33947,train
XC102121_36602,train
XC102121_39048,train
XC102121_3978,train
XC102121_41104,train
XC102121_42894,train
XC102121_44713,train
XC102122_100538,train
XC102122_1477,train
XC102122_19777,train
XC102122_43576,train
XC102122_64887,train
XC102122_86525,train
XC102123_20091,train
XC102123_23084,train
XC102123_33895,train
XC102123_37796,train
XC102123_837,train
XC102124_13853,train
XC102124_1682,train
XC102124_21170,train
XC102124_24980,train
XC102124_30462,train
XC102124_37836,train
XC102124_47384,train
XC102124_61166,train
XC102124_68726,train
XC1041255_311,train
XC1041255_3311,train
XC1043055_23159,val
XC1043055_28370,val
XC1043055_32213,val
XC1043055_8127,val
XC110873_1780,test
XC110874_1357,test
XC110875_789,train
XC110876_2768,test
XC110876_40013,test
XC110879_11854,train
XC110879_20499,train
XC110879_2050,train
XC110879_22088,train
XC110879_28572,train
XC110879_3115,train
XC110879_36950,train
XC110879_48935,train
XC110879_54924,train
XC110879_61945,train
XC110880_1833,train
XC110880_7160,train
XC110881_10447,train
XC110881_13461,train
XC110881_16615,train
XC110881_21763,train
XC110881_4232,train
XC110881_7328,train
XC110882_2900,test
XC116708_18736,val
XC116708_23565,val
XC116708_2576,val
XC116708_30783,val
XC116708_34730,val
XC116708_40947,val
XC116708_42677,val
XC116708_46279,val
XC116708_58125,val
XC142966_1264,train
XC142966_13313,train
XC142966_19337,train
XC142966_34561,train
XC142966_46944,train
XC142966_8272,train
XC156759_12488,train
XC156759_1385,train
XC156759_17313,train
XC156759_22989,train
XC156759_27095,train
XC156759_30381,train
XC156759_43495,train
XC156759_44702,train
XC156759_46032,train
XC156759_5483,train
XC183763_15860,train
XC183763_2486,train
XC183763_36790,train
XC183763_52496,train
XC183763_56857,train
XC183763_59424,train
XC184794_2004,train
XC184794_5043,train
XC185711_12689,train
XC185711_19587,train
XC185711_425,train
XC185711_8700,train
XC187036_581,test
XC192299_0,train
XC192299_11066,train
XC192299_17298,train
XC192299_34897,train
XC192299_5050,train
XC194208_0,train
XC194208_10300,train
XC194208_18385,train
XC194208_25489,train
XC208162_13327,train
XC208162_19268,train
XC208162_22273,train
XC208162_25293,train
XC208162_29577,train
XC208162_34312,train
XC208162_38239,train
XC208162_4718,train
XC208162_735,train
XC294325_12179,train
XC294325_1617,train
XC294325_26855,train
XC294325_47052,train
XC294605_1140,train
XC294605_14856,train
XC294605_15566,train
XC294605_434,train
XC294605_8440,train
XC295122_10571,train
XC295122_23824,train
XC295122_256,train
XC295122_34824,train
XC295122_49094,train
XC295122_64120,train
XC295122_82712,train
XC309110_3020,train
XC309110_7170,train
XC309110_8,train
XC311114_12562,train
XC311114_17106,train
XC311114_2133,train
XC311114_8038,train
XC311115_11883,train
XC311115_1447,train
XC311115_20733,train
XC311116_11531,train
XC311116_1447,train
XC311116_17025,train
XC311116_40720,train
XC331552_0,val
XC331552_12275,val
XC331552_19974,val
XC331552_29534,val
XC331552_6729,val
XC331569_1640,train
XC331569_4660,train
XC331569_7685,train
XC336261_0,train
XC336261_15421,train
XC364334_0,train
XC364334_3000,train
XC364334_30664,train
XC364334_62192,train
XC364334_65191,train
XC364334_68193,train
XC364334_71197,train
XC364334_74202,train
XC364334_80276,train
XC368954_1038,train
XC368954_11405,train
XC368954_7220,train
XC369018_19741,train
XC369018_23033,train
XC369018_30350,train
XC369018_7354,train
XC369018_970,train
XC379536_23421,train
XC379536_26907,train
XC379536_33305,train
XC379536_5340,train
XC379536_9680,train
XC395089_18226,val
XC395089_2203,val
XC395089_34046,val
XC395089_41887,val
XC395089_48784,val
XC395089_59762,val
XC395089_63229,val
XC395089_8684,val
XC400123_10741,train
XC400123_16803,train
XC400123_24118,train
XC400123_25603,train
XC400123_3689,train
XC400123_45367,train
XC400123_47882,train
XC40086_1144,train
XC40086_11521,train
XC40086_17259,train
XC40086_26089,train
XC40086_29089,train
XC40086_41181,train
XC40086_53456,train
XC40086_60804,train
XC40087_134743,train
XC40087_152038,train
XC40087_1794,train
XC40087_20398,train
XC40087_31727,train
XC40087_43217,train
XC40087_59996,train
XC40087_64379,train
XC40087_70731,train
XC40087_81484,train
XC402381_5256,train
XC402381_789,train
XC426356_1477,train
XC426356_15473,train
XC426356_20466,train
XC426356_23459,train
XC426356_9194,train
XC442857_2115,val
XC44444_11449,train
XC44444_14446,train
XC44444_17444,train
XC44444_3046,train
XC44444_46,train
XC444488_1194,train
XC444488_12180,train
XC444488_6372,train
XC444488_9306,train
XC445899_1245,train
XC445899_13571,train
XC445899_18628,train
XC445899_2653,train
XC445899_27551,train
XC445899_29469,train
XC445899_5777,train
XC472544_10937,train
XC472544_16834,train
XC472544_19729,train
XC472544_24798,train
XC472544_2668,train
XC472544_29732,train
XC472544_35206,train
XC472544_5158,train
XC472544_6411,train
XC472544_904,train
XC472545_11253,train
XC472545_4717,train
XC472545_627,train
XC472545_7985,train
XC503850_11764,train
XC503850_13895,train
XC503850_1733,train
XC503850_23827,train
XC503850_30903,train
XC503850_37154,train
XC503850_43605,train
XC503850_49707,train
XC503850_54716,train
XC503850_6455,train
XC505882_14371,val
XC505882_2051,val
XC505882_32097,val
XC505882_43279,val
XC505882_44918,val
XC505882_53037,val
XC505882_54955,val
XC505882_56053,val
XC505883_17731,train
XC505883_21798,train
XC505883_23175,train
XC505883_26591,train
XC505883_30993,train
XC505883_34232,train
XC505883_3595,train
XC505883_37105,train
XC505883_39884,train
XC505883_52833,train
XC506210_22077,train
XC506210_32314,train
XC506210_42707,train
XC506210_58589,train
XC506210_859,train
XC518361_121955,train
XC518361_141460,train
XC518361_15476,train
XC518361_27905,train
XC518361_39684,train
XC518361_43540,train
XC518361_67947,train
XC518361_82761,train
XC518361_98820,train
XC533469_10061,train
XC533469_13265,train
XC533469_16595,train
XC533469_1914,train
XC533469_5452,train
XC544012_20431,train
XC544012_41999,train
XC544012_5370,train
XC544012_54716,train
XC544012_59760,train
XC544012_67702,train
XC544012_7629,train
XC544012_77303,train
XC544012_9846,train
XC555308_1839,test
XC555308_18723,test
XC555308_31185,test
XC555308_34298,test
XC555308_38732,test
XC555308_4787,test
XC555308_6905,test
XC555308_75810,test
XC555308_87195,test
XC555308_90239,test
XC571182_2191,val
XC571182_7309,val
XC571185_15661,train
XC571185_26995,train
XC571185_39641,train
XC571185_41346,train
XC571185_47307,train
XC571185_4911,train
XC571185_61883,train
XC571185_7997,train
XC571185_86163,train
XC583034_13304,train
XC583034_18659,train
XC583034_4351,train
XC583034_68586,train
XC583034_73172,train
XC583034_83302,train
XC583034_86534,train
XC583034_92596,train
XC591907_11049,train
XC591907_14583,train
XC591907_24,train
XC596982_12048,test
XC596982_13313,test
XC596982_15089,test
XC596982_16652,test
XC596982_18960,test
XC596982_21767,test
XC596982_29354,test
XC596982_31542,test
XC596982_3566,test
XC596982_369,test
XC596983_13540,train
XC596983_19962,train
XC596983_2131,train
XC596983_269,train
XC596983_29595,train
XC596983_4106,train
XC596983_43051,train
XC596983_6109,train
XC596983_7104,train
XC596983_8468,train
XC599867_18996,val
XC599867_1966,val
XC599867_3766,val
XC599867_58280,val
XC607249_100509,train
XC607249_123553,train
XC607249_144555,train
XC607249_21212,train
XC607249_2259,train
XC607249_35099,train
XC607249_43870,train
XC607249_73495,train
XC607249_90720,train
XC607249_9434,train
XC614590_1385,train
XC614590_16277,train
XC614590_21644,train
XC623016_20382,train
XC623016_23987,train
XC623016_311,train
XC623016_3309,train
XC635697_17024,train
XC635697_2867,train
XC652901_1026,train
XC652901_14818,train
XC652901_9666,train
XC652903_1429,train
XC652903_14393,train
XC652903_9629,train
XC659209_0,train
XC659209_11836,train
XC659209_16353,train
XC659209_21227,train
XC659209_24296,train
XC659209_34234,train
XC659209_35710,train
XC659209_41175,train
XC659211_12663,train
XC659211_14030,train
XC659211_23749,train
XC659211_27394,train
XC659211_32860,train
XC659211_838,train
XC659211_9173,train
XC659214_23961,train
XC659214_26961,train
XC659214_31884,train
XC661228_21752,test
XC661228_27350,test
XC661228_38035,test
XC661228_42426,test
XC661228_56307,test
XC661228_63781,test
XC661228_809,test
XC661228_82408,test
XC661228_9121,test
XC661228_91913,test
XC661253_5492,train
XC661253_946,train
